Drug ,Sympton
California poppy,"Sleep disorders and temporary insomnia, Mental stress and mood disorders"
Agrimony,"Skin disorders and minor wounds, Gastrointestinal disorders, Mouth and throat disorders"
Capsicum,Pain and inflammation
Mouse-ear hawkweed,Urinary tract and genital disorders
Hedge mustard,"Cough and cold, Mouth and throat disorders"
Walnut leaf,Skin disorders and minor wounds
Dittany of Crete herb,"Skin disorders and minor wounds, Gastrointestinal disorders, Cough and cold"
White horehound,"Gastrointestinal disorders, Loss of appetite, Cough and cold"
Ispaghula husk,Constipation
Psyllium seed,Constipation
Arctic root,"Mental stress and mood disorders, Fatigue and weakness"
Woody nightshade stem,Skin disorders and minor wounds
Ginger,Gastrointestinal disorders
Guarana seed,Fatigue and weakness
Melissa leaf,"Sleep disorders and temporary insomnia, Gastrointestinal disorders, Mental stress and mood disorders"
Lavender Oil,"Sleep disorders and temporary insomnia, Mental stress and mood disorders"
Eucalyptus leaf,Cough and cold
Chicory root,"Gastrointestinal disorders, Loss of appetite"
Ispaghula Seed,Constipation
Eucalyptus Oil,"Pain and inflammation, Cough and cold"
Javanese turmeric,Gastrointestinal disorders
Green tea,Fatigue and weakness
Liquorice Root,"Cough and cold, Gastrointestinal disorders"
Pumpkin seed,Urinary tract and genital disorders
Gumweed herb,Cough and cold
Primula root,Cough and cold
Lovage root,Urinary tract and genital disorders
Nettle root,"Urinary tract and genital disorders, Urinary tract and genital disorders"
peppermint leaf,"Skin disorders and minor wounds, Cough and cold, Gastrointestinal disorders, Pain and inflammation"
Lime flower,"Cough and cold, Mental stress and mood disorders"
Horse-chestnut bark,"Urinary tract and genital disorders, Urinary tract and genital disorders"
Ash Leaf,"Urinary tract and genital disorders, Urinary tract and genital disorders, Pain and inflammation"
Lavender,"Sleep disorders and temporary insomnia, Mental stress and mood disorders"
Ribwort Plantain,Cough and cold
Cola,Fatigue and weakness
Roman Chamomile Flower,Gastrointestinal disorders
Couch grass rhizome,Urinary tract and genital disorders
Clove oil,Mouth and throat disorders
Fumitory,Gastrointestinal disorders
Nettle Leaf,"Urinary tract and genital disorders, Urinary tract and genital disorders"
Cinnamon,Gastrointestinal disorders
Cinnamon Bark Oil,Gastrointestinal disorders
Wild Pansy,Skin disorders and minor wounds
Bitter Fennel,"Urinary tract and genital disorders, Urinary tract and genital disorders, Cough and cold"
Bitter Fennel Fruit Oil,Cough and cold
Nettle Herb,"Urinary tract and genital disorders, Skin disorders and minor wounds, Pain and inflammation"
Sweet Fennel,"Urinary tract and genital disorders, Urinary tract and genital disorders, Cough and cold"
